Key,Type,Desc,English (United Kingdom) [en]
dev_particle_destroy_wood_floor,Text,,"Wood Floor Destruction"
dev_particle_destroy_wood_roof,Text,,"Wood Roof Destruction"
dev_particle_destroy_wood_torch,Text,,"Wood Torch Destruction"
dev_particle_destroy_wood_wall,Text,,"Wood Wall Destruction"
dev_particle_dog_dirt_footprint,Text,,"Dog Footprint"
dev_particle_donkey_dirt_footprint,Text,,"Donkey Footprint"
dev_particle_drunk,Text,,"Drunk"
dev_particle_ducks_flying_straight,Text,,"Ducks Flying"
dev_particle_dust,Text,,"Dust"
dev_particle_eating,Text,,"Eating"
dev_particle_flax_death,Text,,"Flax Wilt"
dev_particle_footsteps_dust,Text,,"Footsteps Dust"
dev_particle_footsteps_grass_dust,Text,,"Footprint Grass Dust"
dev_particle_footsteps_snow_dust,Text,,"Snow Footprint Dust"
dev_particle_footsteps_wet_splash,Text,,"Footprint Water Splash"
dev_particle_geese_flying_straight,Text,,"Geese Flying"
dev_particle_grass,Text,,"Grass"
dev_particle_hammer_sparks,Text,,"Hammer Sparks"
dev_particle_hay_pickup,Text,,"Hay Pick Up"
dev_particle_herbs_death,Text,,"Herbs Wilt"
dev_particle_hot_particles,Text,,"Hot"
dev_particle_mushroom_death,Text,,"Mushrooms Death"
dev_particle_paint_splats,Text,,"Paint Splats"
dev_particle_pigeons_flying_straight,Text,,"Pigeons Flying"
dev_particle_pigeons_scare,Text,,"Scare Pigeons"
dev_particle_pinned,Text,,"Pinned"
dev_particle_production_finished_particles,Text,,"Production Finished"
dev_particle_rebelious,Text,,"Rebellious"
dev_particle_shearing,Text,,"Shearing"
dev_particle_sheep_dirt_footprint,Text,,"Sheep Footprint"
dev_particle_shrub_destroy,Text,,"Shrub Cut"
dev_particle_skillup_particles,Text,,"Skill Level Up"
dev_particle_spawn_pile,Text,,"Spawn Pile"
dev_particle_stone,Text,,"Stone"
dev_particle_stylized_dust,Text,,"Stylized Dust"
dev_particle_system,Text,,"Select a particle system to spawn:"
dev_particle_tame_hearts,Text,,"Taming Hearts"
dev_particle_trainsuccess,Text,,"Training Successful"
dev_particle_trap_activate,Text,,"Trap Activate"
dev_particle_trebuchehit,Text,,"Trebuchet Hit"
dev_particle_tree_fall_birch,Text,,"Fall Birch Tree"
dev_particle_tree_shake_apple,Text,,"Shake Apple Tree"
dev_particle_tree_shake_birch,Text,,"Shake Birch Tree"
dev_particle_tree_shake_branches,Text,,"Shanking Branches"
dev_particle_tree_shake_maple,Text,,"Shake Maple Tree"
dev_particle_tree_shake_oak,Text,,"Shake Oak Tree"
dev_particle_tree_shake_pine,Text,,"Shake Pine Tree"
dev_particle_tree_shake_plane,Text,,"Shake Plane Tree"
dev_particle_vegetables_chopp,Text,,"Vegetable Chop"
dev_particle_water_ripple,Text,,"Water Ripple"
dev_particle_water_splash,Text,,"Water Splash"
dev_particle_weapon_hit,Text,,"Weapon Hit"
dev_particle_wood,Text,,"Wood"
dev_particle_wood_chips,Text,,"Wood Chips"
dev_particle_worker_dirt_left_footprint,Text,,"Left Settler Footprint (dirt)"
dev_particle_worker_dirt_right_footprint,Text,,"Right Settler Footprint (dirt)"
dev_particle_worker_snow_left_footprint,Text,,"Left Settler Footprint (snow)"
dev_particle_worker_snow_right_footprint,Text,,"Right Settler Footprint (snow)"
dev_pathfining,Text,,"Pathfinding"
dev_pet,Text,,"Set Pet"
dev_pet_animals,Text,,"Pet Animals"
dev_piles,Text,,"Resources and Items"
dev_plant_next_phase,Text,,"Force Plant Next Phase on Point"
dev_pregnant,Text,,"Set Pregnant Animal"
dev_production_speed_max,Text,,"Production Speed: Max"
dev_production_speed_normal,Text,,"Production Speed: Normal"
dev_random_item,Text,,"Random Items"
dev_recount_haul_piles,Text,,"Recount Haul Piles"
dev_recount_piles,Text,,"Recount Piles"
dev_refresh_nodes,Text,,"Refresh All Nodes"
dev_remove_all_attack_marks,Text,,"Remove Targets"
dev_remove_warning,Text,,"Remove Warnings"
dev_remove_worker,Text,,"Remove Settler"
dev_reset_animal_timers,Text,,"Reset Taming/Training Counters"
dev_reset_trap,Text,,"Reset Trap"
dev_reset_workers,Text,,"Reset Settlers"
dev_schedule_event_group,Text,,"Schedule Event from Group"
dev_select_dropdown,Text,,"Change skill by:"
dev_select_event_group,Text,,"Select an Event Group to schedule:"
dev_select_fish,Text,,"Choose fish to spawn:"
dev_select_item,Text,,"Select item to spawn on mouse click"
dev_select_item_quality,Text,,"Select the item quality"
dev_select_plant,Text,,"Choose plant to spawn:"
dev_select_resource,Text,,"Choose resource to spawn:"
dev_select_resourceCtg,Text,,"Choose resource category to spawn:"
dev_select_skill,Text,,"Select skill to alter"
dev_set_freshness_0,Text,,"Freshness = 0"
dev_set_freshness_1,Text,,"Freshness = 1"
dev_set_freshness_100,Text,,"Freshness = 100"
dev_set_health_0,Text,,"Health = 0"
dev_set_health_1,Text,,"Health = 1"
dev_set_health_100,Text,,"Health = 100"
dev_set_low_fuel,Text,,"Set Low Fuel on Point"
dev_set_mood_minus_10,Text,,"Mood -10"
dev_set_mood_plus_10,Text,,"Mood +10"
dev_set_npc_behaviour,Text,,"Set NPC Behaviour"
dev_set_npc_faction,Text,,"Set Faction of NPC"
dev_set_worker_hunger_1,Text,,"Creature Hunger: Starving"
dev_set_worker_hunger_100,Text,,"Creature Hunger: Full"
dev_set_worker_hunger_50,Text,,"Creature Hunger: Hungry"
dev_set_worker_hunger_minus_100,Text,,"Settler Hunger: Ravenous"
dev_set_worker_sleep,Text,,"Set Creature Sleep"
dev_set_worker_sleep_1,Text,,"Creature Sleep: Exhausted"
dev_set_worker_sleep_100,Text,,"Creature Sleep: Well Rested"
dev_set_worker_sleep_50,Text,,"Creature Sleep: Tired"
dev_set_worker_stats,Text,,"Set Settler Stats"
dev_spawn_animal,Text,,"Spawn Animal"
dev_spawn_bard_visitor,Text,,"Spawn Bard"
dev_spawn_blank_npc,Text,,"Spawn Blank NPC"
dev_spawn_enemy,Text,,"Spawn 1x enemy"
dev_spawn_event,Text,,"Trigger Event"
dev_spawn_fish,Text,,"Spawn Fish on Point"
dev_spawn_item,Text,,"Spawn Item on Point"
dev_spawn_particle_system,Text,,"Spawn Particle System"
dev_spawn_plant,Text,,"Spawn Plant on Point"
dev_spawn_random_raid,Text,,"Spawn Simple Raid"
dev_spawn_resource,Text,,"Spawn Resource"
dev_spawn_resource_ctg,Text,,"Spawn all from Category"
dev_spawn_trader,Text,,"Spawn Trader"
dev_spawn_trader_with_bodyguards,Text,,"Spawn Trader with Bodyguards"
dev_spawn_trebuchet,Text,,"Spawn Trebuchet on Point"
dev_spawn_worker_1,Text,,"Spawn Settler"
dev_spawn_worker_10,Text,,"Spawn 10 Settlers"
dev_start_planer,Text,,"Start Planer"
dev_stat_0,Text,,"Stat = 0"
dev_stat_100,Text,,"Stat = 100"
dev_stat_25,Text,,"Stat = 25"
dev_stat_50,Text,,"Stat = 50"
dev_stat_75,Text,,"Stat = 75"
dev_structure_preset_panel,Text,,"Structure Preset Panel"
dev_thunder,Text,,"Thunderstrike on Point"
dev_toggle_air_nodes,Text,,"Toggle Air Grid Nodes"
dev_toggle_all_debug,Text,,"Toggle All"
dev_toggle_altCamera_off,Text,,"Alternative Camera: Off"
dev_toggle_altCamera_on,Text,,"Alternative Camera: On"
dev_toggle_combat_damage_popup,Text,,"Toggle Combat Numbers"
dev_toggle_ground_nodes,Text,,"Toggle Ground Grid Nodes"
dev_toggle_invurnelability,Text,,"Toggle Creature Invulnerability"
dev_toggle_invurnelability_off,Text,,"Make All Settlers Invulnearable"
dev_toggle_invurnelability_on,Text,,"Make All Settlers Vulnerable"
dev_toggle_pathing_lines,Text,,"Toggle Pathing Lines"
dev_toggle_player_voxel_info,Text,,"Toggle Player Voxel Info"
dev_toggle_positionining_box,Text,,"Toggle position box"
dev_toggle_proximity_debug,Text,,"Toggle Proximity"
dev_toggle_recheability_debug,Text,,"Toggle Reachability"
dev_toggle_regions,Text,,"Toggle Regions"
dev_toggle_relocate_debug,Text,,"Toggle Relocate Pile"
dev_toggle_structure_preset_panel,Text,,"Toggle Panel"
dev_toggle_ui_off,Text,,"UI: On"
dev_toggle_ui_on,Text,,"UI: Off"
dev_tooltip_10_mining_speed,Text,,"Sets mining speed to ×10"
dev_tooltip_activate_all_research,Text,,"Toggles unlocking of all research"
dev_tooltip_add_xp_to_skill,Text,,"Adds or Removes XP from a skill on mouse click."
dev_tooltip_air_grid_nodes,Text,,"Toggles debug visuals for Nodes"
dev_tooltip_animal,Text,,"Spawns chosen animal as wild on mouse click."
dev_tooltip_animal_domestic,Text,,"Spawns chosen domesticated animal on mouse click."
dev_tooltip_animal_pet,Text,,"Spawns chosen animal on mouse click as a pet."
dev_tooltip_autoconstruct,Text,,"Toggles between instant and normal construction"
dev_tooltip_create_warning_messages,Text,,"Creates random Warning messages."
dev_tooltip_crop_next_phase,Text,,"Advance the clicked crop to its next growth phase."
dev_tooltip_damage_voxel,Text,,"Damage voxels around cursor in a range on mouse click."
dev_tooltip_deal_damage,Text,,"Damage anything you click on by 15 (except voxels)."
dev_tooltip_destroy_pile,Text,,"Destroys pile on mouse click"
dev_tooltip_enemy,Text,,"Spawns the selected enemy on mouse click."
dev_tooltip_event_group,Text,,"Schedule a random event from the selected group"
dev_tooltip_faction,Text,,"Select the Faction you want to alter the Alignment of."
dev_tooltip_faction_set_friendliness,Text,,"Alter Faction Alignment."
dev_tooltip_faint_worker,Text,,"Faints a Settler on mouse click"
dev_tooltip_finish_animal_production,Text,,"Force completion of animal production on mouse click."
dev_tooltip_fish,Text,,"Spawns chosen fish on mouse click"
dev_tooltip_force_crop_harvest_phase,Text,,"Forces crops to harvest phase after planting."
dev_tooltip_force_exception,Text,,"Forces an exception."
dev_tooltip_friendliness_minus,Text,,"Removes 10 Alignment to selected Faction."
dev_tooltip_friendliness_plus,Text,,"Adds 10 Alignment to the selected Faction."
dev_tooltip_gender,Text,,"Toggles gender of the enemy you are spawning."
dev_tooltip_give_birth_animal,Text,,"Completes pregnancy for female animal on mouse click."
dev_tooltip_ground_grid_nodes,Text,,"Toggles debug visuals for Air Nodes"
dev_tooltip_hunt_animals,Text,,"Marks all animals for Hunting."
dev_tooltip_hunt_workers,Text,,"DOES NOTHING"
dev_tooltip_inflict_wound,Text,,"Inflicts selected wound on Settler on mouse click."
dev_tooltip_instant_dig,Text,,"Toggles between instant and normal digging."
dev_tooltip_kill_all_animals,Text,,"Kills all animals on the map."
dev_tooltip_kill_all_fish,Text,,"Kills all fish on the map."
dev_tooltip_kill_enemies,Text,,"Kills all enemies on the map."
dev_tooltip_kill_piles,Text,,"Destroys all piles on the map."
dev_tooltip_kill_plants,Text,,"Destroys all plants on the map."
dev_tooltip_ladder_falldown,Text,,"Push a creature off of a ladder."
dev_tooltip_make_npc_leave,Text,,"Makes the NPC leave the map."
dev_tooltip_mark_for_roping,Text,,"Marks clicked animal for roping."
dev_tooltip_marketing_mode,Text,,"Turns on Marketing Mode"
dev_tooltip_mood_minus,Text,,"Removes 10 from the Settler's mood stat on mouse click."
dev_tooltip_mood_plus,Text,,"Add +10 to the Settler's mood stat on mouse click."
dev_tooltip_node_visualizer,Text,,"Updates Node Visualizers."
dev_tooltip_particle,Text,,"Spawns selected particle system (effect) on mouse click."
dev_tooltip_pathing_lines,Text,,"Toggles debug visuals for Pathing Lines."
dev_tooltip_plant,Text,,"Spawns chosen plant on mouse click."
dev_tooltip_plant_next_phase,Text,,"Advance the clicked plant to its next growth phase."
dev_tooltip_production_speed_max,Text,,"Sets Production Speed Multiplier to 50."
dev_tooltip_production_speed_normal,Text,,"Sets Procution Speed multiplier to 1."
dev_tooltip_random_item,Text,,"Spawns 10 random items on mouse click."
dev_tooltip_recount_haul_piles,Text,,"Recounts all haul piles on the map."
dev_tooltip_recount_piles,Text,,"Recounts all piles on the map."
dev_tooltip_refresh_nodes,Text,,"Refreshes all Nodes."
dev_tooltip_remove_worker,Text,,"Click on a Settler to kill them."
dev_tooltip_reset_taming_and_training,Text,,"Resets Taming and Training timers for animal on mouse click."
dev_tooltip_reset_traps,Text,,"Reset trap on mouse click."
dev_tooltip_reset_workers,Text,,"Resets the state of all Settlers (DOES NOTHING)"
dev_tooltip_resource,Text,,"Spawns the maximum stack of chosen resource on mouse click."
dev_tooltip_resourceCtg,Text,,"Spawns every resource from the chosen category on mouse click."
dev_tooltip_revert_mining_speed,Text,,"Resets the mining speed back to normal."
dev_tooltip_schedule_event_group,Text,,"Schedules a random event from a selected group."
dev_tooltip_set_domestic,Text,,"Set animal as domestic on mouse click."
dev_tooltip_set_freshness_0,Text,,"Sets freshness of hauled piles and piles on the ground to 0."
dev_tooltip_set_freshness_1,Text,,"Sets freshness of hauled piles and piles on the ground to 1."
dev_tooltip_set_freshness_100,Text,,"Sets freshness of hauled piles and piles on the ground to 100."
dev_tooltip_set_health_0,Text,,"Sets health level of creatures, plants or resources to 0."
dev_tooltip_set_health_1,Text,,"Sets health level of creatures, plants or resources to 1."
dev_tooltip_set_health_100,Text,,"Sets health level of creatures, plants or resources to 100."
dev_tooltip_set_hunger_-100,Text,,"Set's creature's hunger to Ravenous."
dev_tooltip_set_hunger_1,Text,,"Set's creature's hunger to Starving."
dev_tooltip_set_hunger_100,Text,,"Set's creature's hunger to Full."
dev_tooltip_set_hunger_50,Text,,"Set's creature's hunger to Hungy."
dev_tooltip_set_interaction_event_chance_always,Text,,"Sets Interaction Event chance to 100%."
dev_tooltip_set_interaction_event_chance_default,Text,,"Resets Interaction Event chance to default."
dev_tooltip_set_low_fuel,Text,,"Sets fuel to very low on mouse click."
dev_tooltip_set_npc_behaviour,Text,,"Sets NPC behaviour on mouse click."
dev_tooltip_set_npc_faction,Text,,"Set Faction of NPC on pointer click"
dev_tooltip_set_pet,Text,,"Set animal as a pet on mouse click."
dev_tooltip_set_pregnant_animal,Text,,"Force pregnancy on female animal on mouse click."
dev_tooltip_set_season,Text,,"Advance time to the selected season."
dev_tooltip_set_time_of_day,Text,,"Change time of day to the selected one."
dev_tooltip_set_weather_event,Text,,"Triggers the selected precipitation."
dev_tooltip_set_wild,Text,,"Set animal as wild on mouse click."
dev_tooltip_set_wild_aggro,Text,,"Set animal as aggressive and wild on mouse click."
dev_tooltip_set_worker_sleep_1,Text,,"Sets creature's Sleep stat to 1, if it has the stat."
dev_tooltip_set_worker_sleep_100,Text,,"Sets creature's Sleep stat to 100, if it has the stat."
dev_tooltip_set_worker_sleep_50,Text,,"Sets creature's Sleep stat to 50, if it has the stat."
dev_tooltip_set_worker_stats,Text,,"Change Settler stats by clicking on them."
dev_tooltip_skill,Text,,"Alters this skill on a Settler by the chosen amount on mouse click."
dev_tooltip_spawn_animal,Text,,"Spawns animal on mouse click"
dev_tooltip_spawn_blank_npc,Text,,"Spawns a blank NPC on mouse click."
dev_tooltip_spawn_enemy,Text,,"Spawns an enemy on mouse click."
dev_tooltip_spawn_event,Text,,"Triggers selected event."
dev_tooltip_spawn_fish,Text,,"Spawns Fish on Mouse Click"
dev_tooltip_spawn_item,Text,,"Spawns item on mouse click"
dev_tooltip_spawn_item_quality,Text,,"Spawns the item of the selected quality on mouse click."
dev_tooltip_spawn_particle_system,Text,,"Spawns selected Particle System (effect) on mouse click."
dev_tooltip_spawn_plant,Text,,"Spawns Plant on Mouse Click"
dev_tooltip_spawn_resource,Text,,"Spawns resource pile on mouse click"
dev_tooltip_spawn_resource_ctg,Text,,"Spawns every resource of a category on mouse click"
dev_tooltip_spawn_trader,Text,,"Spawns a random trader on mouse click."
dev_tooltip_spawn_trader_bodyguards,Text,,"Spawns a random trader with bodygurads on mouse click."
dev_tooltip_spawn_trebuchet,Text,,"Spawns a trebuchet on mouse click."
dev_tooltip_spawn_worker_1,Text,,"Spawns 1 Settler on mouse click."
dev_tooltip_spawn_worker_10,Text,,"Spawns 10 Settlers on mouse click."
dev_tooltip_stat_set,Text,,"Set chosen stat to selected value of clicked on Settler."
dev_tooltip_test_remove_warnings,Text,,"Removes all warning Messages momentarily."
dev_tooltip_test_update_warnings,Text,,"Updates warning Messages."
dev_tooltip_thunder,Text,,"Click to spawn a thunderstrike (from Thunderstorm)."
dev_tooltip_toggle_Invulnerability_all,Text,,"Toggles Invulnerability for all of your Settlers."
dev_tooltip_toggle_all_visual_debug,Text,,"Toggles all debug visuals. (if some of the later ones are off, you need to turn them on, this option does not reenable them.)"
dev_tooltip_toggle_alt_camera,Text,,"Changes the camera mode from standard to isometric."
dev_tooltip_toggle_combat_damage_popup,Text,,"Toggles combat numbers."
dev_tooltip_toggle_invurnelability,Text,,"Toggles Invulnerability of any Creature you click on"
dev_tooltip_toggle_player_voxel_info,Text,,"Toggles voxel info for the player."
dev_tooltip_toggle_reachability,Text,,"Toggles reachability debug visuals."
dev_tooltip_toggle_regions,Text,,"Toggles the debug visuals for Regions."
dev_tooltip_toggle_relocate_piles,Text,,"Toggle relocate piles debug visuals."
dev_tooltip_toggle_structure_preset_panel,Text,,"Toggle Structure Preset Panel."
dev_tooltip_toggle_ui,Text,,"Toggles the ingame UI on and off"
dev_tooltip_toggle_visual_proximity,Text,,"Toggles proximity debug visuals."
dev_tooltip_toggle_water_debug_ui,Text,,"Toggles water editing and info UI."
dev_tooltip_trigger_traps,Text,,"Trigger trap on mouse click."
dev_tooltip_try_fish_spawn,Text,,"Spawns another Fish somewhere on the map if possible."
dev_tooltip_unfaint_worker,Text,,"Wakes up Settler from loss of consciousness on mouse click."
dev_tooltip_voxel_info,Text,,"Display info of the currently selected voxel."
dev_tooltip_weather_date_time,Text,,"Modify weather and time."
dev_tooltip_weather_view,Text,,"Toggles the weather info panel. It shows weather events for the entire season."
dev_tooltip_wild_aggressive_animals,Text,,"Spawns chosen animal as wild aggressive on mouse click."
dev_tooltip_wound_worker,Text,,"Click on a Settler to Wound them"
dev_trading,Text,,"Trading"
dev_traps,Text,,"Traps"
dev_trebuchet_spawn,Text,,"Select a trebuchet to spawn:"
dev_trigger_trap,Text,,"Trigger Trap on Point"
dev_try_fish_spawn,Text,,"Spawn a new Fish"
dev_unfaint_worker,Text,,"Unfaint Settler"
dev_update_node_visualizer,Text,,"Update Node Visualizer"
dev_update_warning,Text,,"Update Warnings"
dev_visual_debug,Text,,"Visual Debug"
dev_voxel_info,Text,,"Show Voxel Info"
dev_warning_messages,Text,,"Warning Messages"
dev_water_debug,Text,,"Toggle Water Debug UI"
dev_weather_time,Text,,"Weather and Time"
dev_weather_view,Text,,"Show weather info"
dev_wild,Text,,"Set Wild"
dev_wild_aggressive,Text,,"Set Wild Agressive"
dev_wild_aggressive_animals,Text,,"Wild Aggressive Animals"
dev_wild_animals,Text,,"Wild Animals"
dev_workers,Text,,"Settlers"
dev_wound_worker,Text,,"Wound Settler"
dialogOptionEffect_AnimalRaidImminent,Text,,"<style=DefaultRed>A pack of wild animals has arrived near your settlement. It will leave in a couple of days. It may be better to leave them undisturbed than to risk someone getting hurt.</style>"
dialogOptionEffect_Autumn,Text,,"<b>Autumn</b>\n - Moderate temperature. Rain and fog are frequent. Chance of thunderstorms and hailstorms."
dialogOptionEffect_NegativeMood,Text,,"<style=DefaultRed>Some settlers might get a negative mood modifier</style>"
dialogOptionEffect_NewWorker,Text,,"<style=DefaultGreen>A new settler will join your settlement</style>"
dialogOptionEffect_PositiveMood,Text,,"<style=DefaultGreen>Your settlers will get a positive mood modifier for helping someone in need</style>"
dialogOptionEffect_PossibleRaid,Text,,"<style=DefaultRed>Expect a possible attack in a couple of days</style>"
dialogOptionEffect_RaidImminent,Text,,"<style=DefaultRed>Enemies have arrived and will attack your settlement</style>"
dialogOptionEffect_Spring,Text,,"<b>Spring</b>\n - Moderate temperature. Rain and fog are frequent. Small chance of hailstorms. "
dialogOptionEffect_Summer,Text,,"<b>Summer</b>\n - High temperatures. Chance of heatwaves. Build underground storage to keep your food fresh during the hot summer days. Days are longest at midsummer, when the sun is at its highest. "
dialogOptionEffect_Winter,Text,,"<b>Winter</b>\n - Low temperatures. High chance of snowfall and blizzards. Chance of cold snaps. Vegetation will not grow in low temperatures, so ensure that you sow and harvest as much as you can before winter starts. The nights are the longest in midwinter, when the sun is low in the sky, offering less heat."
died_friend_pattern,Text,,"<agent_name> was devastated that <target_name> was dead"
died_neutral_pattern,Text,,"<agent_name> was sad that <target_name> was dead"
died_rival_pattern,Text,,"<agent_name> was happy that <target_name> was dead"
difficulty_builder,Text,,"Builder"
difficulty_option_animalDomesticSingleEvent_info,Text,,"Allow domestic animals to appear on your map from time to time"
difficulty_option_animalDomesticSingleEvent_title,Text,,"Domestic Animal Event"
difficulty_option_animalRaidEvent_info,Text,,"Allow this event to happen in this playthrough"
difficulty_option_animalRaidEvent_title,Text,,"Hostile Animals"
difficulty_option_animalSpawnMultiplier_info,Text,,"Determines speed at which new animals spawn on the map."
difficulty_option_animalSpawnMultiplier_title,Text,,"Animal Spawn Rate Multiplier"
difficulty_option_blightEvent_info,Text,,"Allow this event to happen in this playthrough"
difficulty_option_blightEvent_title,Text,,"Blighted Crops"
difficulty_option_coldsnapEvent_info,Text,,"Allow this event to happen in this playthrough"
difficulty_option_coldsnapEvent_title,Text,,"Cold snap"
difficulty_option_decomposeSpeed_info,Text,,"How quickly resources will loose HP due to environmental factors, like rain and temperature"
difficulty_option_decomposeSpeed_title,Text,,"Decomposition Speed"
difficulty_option_enemiesHaveTrebuchet_info,Text,,"Turning this off disables enemies from spawning with trebuchets during regular raids. Note that they will still have trebuchets in sieges. If enemies cannot find a clear path from their spawn point to a door that leads to your fort, the AI sees this as turtling and will spawn a siege version that always has trebuchets."
difficulty_option_enemiesHaveTrebuchet_title,Text,,"Enemies Armed With Trebuchets"
difficulty_option_enemyHPMax_info,Text,,"The maximum amount of hitpoints an enemy has. Changing this during a playthrough will affect enemies that are yet to come, and not those already on your map. "
difficulty_option_enemyHPMax_title,Text,,"Enemy Hitpoints"
difficulty_option_enemyRaidEvent_info,Text,,"Allow random raid events to occur during your play session. (Note that in Peaceful mode this does not apply, because raids are excluded from this game mode.)"
difficulty_option_enemyRaidEvent_title,Text,,"Enemy Raid Events"
difficulty_option_fireSpreadSpeedMultiplier_info,Text,,"Multiplies the speed at which fire spreads. This is additional to the property that as damage accrues, fire spreads more slowly to neighbouring ground. Speed of fire spread on oil splashes is unaffected."
difficulty_option_fireSpreadSpeedMultiplier_title,Text,,"Fire Spread Multiplier"
difficulty_option_globalWorkSpeed_info,Text,,"This multiplies the speed of all job-related activities."
difficulty_option_globalWorkSpeed_title,Text,,"Global Work Speed"
difficulty_option_hailstormEvent_info,Text,,"Allow this event to happen in this playthrough"
difficulty_option_hailstormEvent_title,Text,,"Hailstorm"
difficulty_option_healthRecoverySpeed_info,Text,,"Health recovery: base hitpoint recovery rate +/- multipliers."
difficulty_option_healthRecoverySpeed_title,Text,,"Hitpoints Recovery"
difficulty_option_heatwaveEvent_info,Text,,"Allow this event to happen in this playthrough"
difficulty_option_heatwaveEvent_title,Text,,"Heat wave"
difficulty_option_huntingRetailateChance_info,Text,,"The chance that the quarry fights back."
difficulty_option_huntingRetailateChance_title,Text,,"Chance Quarry Retaliates"
difficulty_option_mineYieldMultiplier_info,Text,,"Multiplies the base value of resources extracted when a voxel is mined"
difficulty_option_mineYieldMultiplier_title,Text,,"Mine Yield Multiplier"
difficulty_option_moodTarget_info,Text,,"The base mood value of a settler. Smaller values will result in settlers rebelling more often. The default settler's mood is 50."
difficulty_option_moodTarget_title,Text,,"Settler Mood Value"
difficulty_option_plantYieldMultiplier_info,Text,,"Multiplies the base value of plant resources yielded when harvested"
difficulty_option_plantYieldMultiplier_title,Text,,"Plant Yield Multiplier"
difficulty_option_raidPointsMultiplier_info,Text,,"Determines the amount of points used when spawning events like Blight and Raids. These points determine the number and strength of those events."
difficulty_option_raidPointsMultiplier_title,Text,,"Event Strength Multiplier"
difficulty_option_rottingSpeed_info,Text,,"How quickly resources like raw food will lose freshness and rot."
difficulty_option_rottingSpeed_title,Text,,"Rotting Speed"
difficulty_option_thundertstormEvent_info,Text,,"Allow this event to happen in this playthrough"
difficulty_option_thundertstormEvent_title,Text,,"Thunderstorm"
difficulty_option_tradingValue_info,Text,,"This offsets the proffered value by XX%."
difficulty_option_tradingValue_title,Text,,"Barter Value"
difficulty_option_useSeeds_info,Text,,"Use seeds for sowing. It is recommended to leave this 'on.' Turning this off results in unused seeds visible on the map: settlers will go through the motions of sowing at locations designated as crop fields where plants will grow automatically. You still need to acquire seeds to unlock a crop field. "
difficulty_option_useSeeds_title,Text,,"Use Seeds"
difficulty_option_woundSeverityMultiplier_info,Text,,"Determines the severity of wounds inflicted on settlers. Less severe wounds have a lower impact on attributes, and are more easily tended."
difficulty_option_woundSeverityMultiplier_title,Text,,"Wound Severity Multiplier"
difficulty_standard,Text,,"Standard"
dig_failed,Text,,"Mined Resources Mangled"
dig_resource_health,Text,,"Hitpoints"
dislocated_sholder_name,Text,,"Dislocated Shoulder"
distance_from_village,Text,,"Tiles away"
dont_cut,Text,,"Don't Cut"
dont_harvest,Text,,"Don't Harvest"
door_broken,Text,,"This structure is broken and its status cannot be changed until it is repaired to 80% of max HP."
durability,Text,,"Durability"
early_acces_note,Text,,"Welcome to Going Medieval. Thank you for your support.\nPlease note that we are actively developing this game, so you may notice that some areas are still in progress. Rest assured that we will update the game regularly, to add features and to make the experience more robust over time. Should you encounter any bugs, please reach out to us on our Discord server or report them through the in-game bug reporter."
edit_Alcohol_profiles,Text,,"Edit Alcohol Profiles"
edit_Apparel_profiles,Text,,"Edit Apparel Profiles"
edit_Armor_profiles,Text,,"Edit Armour Profiles"
edit_Food_profiles,Text,,"Edit Food Profiles"
edit_Headware_profiles,Text,,"Edit Headgear Profiles"
edit_Shields_profiles,Text,,"Edit Shield Profiles"
edit_Stimulants_profiles,Text,,"Edit Stimulant Profiles"
edit_Weapons_profiles,Text,,"Edit Weapon Profiles"
effect_reason_attribute_agingspeed,Text,,"Aging because of"
effect_reason_attribute_decomposespeed,Text,,"Decaying because of"
effect_reason_attribute_fermentingspeed,Text,,"Fermenting because of"
effect_reason_attribute_rottingspeed,Text,,"Rotting because of"
effect_reason_ground,Text,,"Ground type"
effect_reason_temperature,Text,,"Temperature"
effect_reason_time_agingspeed,Text,,"Pile will become <LinkAlmanac=""Systemdecomposition"">aged</link> in"
effect_reason_time_decomposespeed,Text,,"Pile <LinkAlmanac=""Systemdecomposition"">decomposes</link> in"
effect_reason_time_fermentingspeed,Text,,"Pile will <LinkAlmanac=""Systemfermentation"">ferment</link> in"
effect_reason_time_rottingspeed,Text,,"Pile <LinkAlmanac=""Systemdecomposition"">rots</link> in"
effect_reason_weather,Text,,"Unroofed"
effecto_info_InPaganChapelMoodMinus,Text,,"I feel uncomfortable here, in this heathen place. Our Creator shows us the true path. This old balderdash about trees and ponds is not for me!"
effector_info_AdultAgeEffector01,Text,,"True, I have had a few setbacks. But I've learned how to handle myself, and that's what counts. I am in the prime of life, after all!"
effector_info_AgentMoodGood,Text,,"I feel better than ever. "
effector_info_AlcoholNeedHigh,Text,,"I’d kill for a pint, or three <style=AltColor>Tip: Brew some alcoholic beverages for your settlers.</style>"
effector_info_AlcoholNeedLow,Text,,"A drink sounds nice"
effector_info_AlcoholNeedMed,Text,,"I'm thirsty. A pint would really hit the spot"
effector_info_AlcoholNeedNone,Text,,"I don't need a drink."
effector_info_AteAtTable,Text,,"Eating at the table feels so civilized. It's positively grand compared to some of the places I've had to eat...it's quite heartening."
effector_info_AteDubiousMeal,Text,,"Not sure what was in that, and I never want to find out."
effector_info_AteHumanFlesh,Text,,"I ate human flesh! <style=AltColor>Tip: Forbid meals made with human meat in the manage panel or find alternative food sources.</style>"
effector_info_AteHumanFleshCanibal,Text,,"Consumed Human Flesh"
